id,audio_url,title,artist,album,duration,release_year,cover
lGE8hZtNDqA,https://www.youtube.com/watch?v=lGE8hZtNDqA,Are you happy?,SHY Martin,Sad Songs,158,2020.0,https://i.ytimg.com/vi_webp/lGE8hZtNDqA/maxresdefault.webp
XPu9ZE4Onzc,https://www.youtube.com/watch?v=XPu9ZE4Onzc,Kya Mujhe Pyar Hai,"K.K., Pritam, Neelesh Misra",Woh Lamhe,267,2006.0,https://i.ytimg.com/vi_webp/XPu9ZE4Onzc/maxresdefault.webp
FDyWuL6lq6w,https://www.youtube.com/watch?v=FDyWuL6lq6w,Right Now (Na Na Na),Akon,Freedom,241,2008.0,https://i.ytimg.com/vi_webp/FDyWuL6lq6w/maxresdefault.webp
X0B0u85zi4Q,https://www.youtube.com/watch?v=X0B0u85zi4Q,Deep End,William Black,Deep End,208,2021.0,https://i.ytimg.com/vi_webp/X0B0u85zi4Q/maxresdefault.webp
Cnd-uM9QDS4,https://www.youtube.com/watch?v=Cnd-uM9QDS4,Closer 2,"EDEN, Jonathon Ng",ICYMI,198,2022.0,https://i.ytimg.com/vi_webp/Cnd-uM9QDS4/maxresdefault.webp
JZwU974Qdf4,https://www.youtube.com/watch?v=JZwU974Qdf4,Charlie Brown,Coldplay,Mylo Xyloto,285,2011.0,https://i.ytimg.com/vi_webp/JZwU974Qdf4/maxresdefault.webp
QAXbz29pFvQ,https://www.youtube.com/watch?v=QAXbz29pFvQ,I Found You,Kayden,Forever,196,2018.0,https://i.ytimg.com/vi_webp/QAXbz29pFvQ/maxresdefault.webp
iQS1mt1IZWA,https://www.youtube.com/watch?v=iQS1mt1IZWA,Filhaal,Mitraz,Zehen,217,2022.0,https://i.ytimg.com/vi_webp/iQS1mt1IZWA/maxresdefault.webp
BK4mwzG4ZHE,https://www.youtube.com/watch?v=BK4mwzG4ZHE,Dil Na Jaaneya,"Rochak Kohli, Lauv, Akasa","Dil Na Jaaneya (From ""Good Newwz"")",231,2019.0,https://i.ytimg.com/vi_webp/BK4mwzG4ZHE/maxresdefault.webp
8Glu4dyswcc,https://www.youtube.com/watch?v=8Glu4dyswcc,i'm so tired...,"Lauv, Troye Sivan, Oscar Görres, Ari Leff, Troye Sivan Mellet, Brett McLaughlin, Michael Pollack",~how i'm feeling~,163,2019.0,https://i.ytimg.com/vi_webp/8Glu4dyswcc/maxresdefault.webp
